id,year
300144,2013
300144,2014
300144,2015
300144,2016
300144,2017
300144,2018
300144,2019
300144,2020
300144,2021
300145,2011
300145,2012
300145,2013
300145,2014
300145,2015
300145,2016
300145,2017
300145,2018
300145,2019
300145,2020
300145,2021
300146,2011
300146,2012
300146,2013
300146,2014
300146,2015
300146,2016
300146,2017
300146,2018
300146,2019
300146,2020
300146,2021
300147,2011
300147,2012
300147,2013
300147,2014
300147,2015
300147,2016
300147,2017
300147,2018
300147,2019
300147,2020
300147,2021
300148,2011
300148,2012
300148,2013
300148,2014
300148,2015
300148,2016
300148,2017
300148,2018
300148,2019
300148,2020
300148,2021
300149,2011
300149,2012
300149,2013
300149,2014
300149,2015
300149,2016
300149,2017
300149,2018
300149,2019
300149,2020
300149,2021
300150,2011
300150,2012
300150,2013
300150,2014
300150,2015
300150,2016
300150,2017
300150,2018
300150,2019
300150,2020
300150,2021
300151,2011
300151,2012
300151,2013
300151,2014
300151,2015
300151,2016
300151,2017
300151,2018
300151,2019
300151,2020
300151,2021
300152,2011
300152,2012
300152,2013
300152,2014
300152,2015
300152,2016
300152,2017
300152,2018
300152,2019
300152,2020
300152,2021
300153,2011
300153,2012
300153,2013
300153,2014
300153,2015
300153,2016
300153,2017
300153,2018
300153,2019
300153,2020
300153,2021
300154,2011
300154,2012
300154,2013
300154,2014
300154,2015
300154,2016
300154,2017
300154,2018
300154,2019
300154,2020
300154,2021
300155,2011
300155,2012
300155,2013
300155,2014
300155,2015
300155,2016
300155,2017
300155,2018
300155,2019
300155,2020
300155,2021
300157,2011
300157,2012
300157,2013
300157,2014
300157,2015
300157,2016
300157,2017
300157,2018
300157,2019
300157,2020
300157,2021
300158,2011
300158,2012
300158,2013
300158,2014
300158,2015
300158,2016
300158,2017
300158,2018
300158,2019
300158,2020
300158,2021
300160,2011
300160,2012
300160,2013
300160,2014
300160,2015
300160,2016
300160,2017
300160,2018
300160,2019
300160,2020
300160,2021
300161,2011
300161,2012
300161,2013
300161,2014
300161,2015
300161,2016
300161,2017
300161,2018
300161,2019
300161,2020
300161,2021
300162,2011
300162,2012
300162,2013
300162,2014
300162,2015
300162,2016
300162,2017
300162,2018
300162,2019
300162,2020
300162,2021
300163,2011
300163,2012
300163,2013
300163,2014
300163,2015
300163,2016
300163,2017
300163,2018
300163,2019
300163,2020
300163,2021
300164,2011
300164,2012
300164,2013
300164,2014
300164,2015
300164,2016
300164,2017
300164,2018
300164,2019
300164,2020
300164,2021
300165,2011
300165,2012
300165,2013
300165,2014
300165,2015
300165,2016
300165,2017
300165,2018
300165,2019
300165,2020
300165,2021
300166,2011
300166,2012
300166,2013
300166,2014
300166,2015
300166,2016
300166,2017
300166,2018
300166,2019
300166,2020
300166,2021
300167,2011
300167,2012
300167,2013
300167,2014
300167,2015
300167,2016
300167,2017
300167,2018
300167,2019
300167,2020
300167,2021
300168,2011
300168,2012
300168,2013
300168,2014
300168,2015
300168,2016
300168,2017
300168,2018
300168,2019
300168,2020
300168,2021
300169,2011
300169,2012
300169,2013
300169,2014
300169,2015
300169,2016
300169,2017
300169,2018
300169,2019
300169,2020
300169,2021
300170,2011
300170,2012
300170,2013
300170,2014
300170,2015
300170,2016
300170,2017
300170,2018
300170,2019
300170,2020
300170,2021
300171,2011
300171,2012
300171,2013
300171,2014
300171,2015
300171,2016
300171,2017
300171,2018
300171,2019
300171,2020
300171,2021
300172,2011
300172,2012
300172,2013
300172,2014
300172,2015
300172,2016
300172,2017
300172,2018
300172,2019
300172,2020
300172,2021
300173,2011
300173,2012
300173,2013
300173,2014
300173,2015
300173,2016
300173,2017
300173,2018
300173,2019
300173,2020
300173,2021
300174,2011
300174,2012
300174,2013
300174,2014
300174,2015
300174,2016
300174,2017
300174,2018
300174,2019
300174,2020
300174,2021
300175,2011
300175,2012
300175,2013
300175,2014
300175,2015
300175,2016
300175,2017
300175,2018
300175,2019
300175,2020
300175,2021
300176,2011
300176,2012
300176,2013
300176,2014
300176,2015
300176,2016
300176,2017
300176,2018
300176,2019
300176,2020
300176,2021
300177,2011
300177,2012
300177,2013
300177,2014
300177,2015
300177,2016
300177,2017
300177,2018
300177,2019
300177,2020
300177,2021
300179,2011
300179,2012
300179,2013
300179,2014
300179,2015
300179,2016
300179,2017
300179,2018
300179,2019
300179,2020
300179,2021
300180,2011
300180,2012
300180,2013
300180,2014
300180,2015
300180,2016
300180,2017
300180,2018
300180,2019
300180,2020
300180,2021
300181,2011
300181,2012
300181,2013
300181,2014
300181,2015
300181,2016
300181,2017
300181,2018
300181,2019
300181,2020
300181,2021
300182,2011
300182,2012
300182,2013
300182,2014
300182,2015
300182,2016
300182,2017
300182,2018
300182,2019
300182,2020
300182,2021
300183,2011
300183,2012
300183,2013
300183,2014
300183,2015
300183,2016
300183,2017
300183,2018
300183,2019
300183,2020
300183,2021
300184,2011
300184,2012
300184,2013
300184,2014
300184,2015
300184,2016
300184,2017
300184,2018
300184,2019
300184,2020
300184,2021
300185,2011
300185,2012
300185,2013
300185,2014
300185,2015
300185,2016
300185,2017
300185,2018
300185,2019
300185,2020
300185,2021
300187,2011
300187,2012
300187,2013
300187,2014
300187,2015
300187,2016
300187,2017
300187,2018
300187,2019
300187,2020
300187,2021
300188,2011
300188,2012
300188,2013
300188,2014
300188,2015
300188,2016
300188,2017
300188,2018
300188,2019
300188,2020
300188,2021
300189,2011
300189,2012
300189,2013
300189,2014
300189,2015
300189,2016
300189,2017
300189,2018
300189,2019
300189,2020
300189,2021
300190,2011
300190,2012
300190,2013
300190,2014
